Address,beforeDOTA,afterDOTA,status
128xVxhsGudT4qNeBgCArEygye2Ae8MM2gaMFGX4tFSKY3He,0.0,60.0,New
1vK8NGNGBBgRkFv9YeDF6sYHSKchAN2oHAL4NfucDERNdwL,0.0,1.0,New
14wRSqWsL3Q7X4cCCdXZRMjUzo3bqcqXWnjKYvgACavvALte,0.0,2.05,New
121fKaKN2eX2JyyCBvhfqcXUFnRthG2akfgYJSAFohQGykNu,0.0,2.61,New
1QvfxxGSDQj1X41CzJQDXPRWi8vR62XLTYdKdvgsJmiywfw,0.0,32.02,New
14ikn4SMduZ8XzrR5GhWMFxhotdY6dArGA6UknK4FMKedrWc,0.0,61.72,New
127AwFX899Ezmti8s3pqjmfAYx674FPA9nZMkqvY7Vx9QUkC,4.95,10.42,Old
13QFkR8h8XYEPQeQY1ZzRYtHbyvYpQmA7ur8UUNfN7uGHBYz,0.0,6.16,New
1CnrXCwJwT1Pzyhy4fTXMNrsKe7CtYXmhnLUZCG7KX9REMy,1.01,1.01,Old
14eGcB92EY2Zsk5a3KUuhUxbYy14g8XEFWGfTXAaiXq2A9t,0.0,3.15,New
12isj8tGCQb8dQ4J7hG9nK6ifk9vrcsZBbfeK5HuCspbToDw,0.0,1.02,New
14Ght7PGf8TyrGdreqf56SwUcbsBdCJyFmHyebEaiyBw7oq2,0.0,0.0,Old
15DJV4844mn3m9BBFrCpLYJmVoMfFPhkC1CydC9eWKXNuT9k,0.0,1.01,New
1349DxnawffsTw41rMhZugiCx3GfLoSAjwuk9tAb84XYm88Q,0.0,1.01,New
14DQxsmywqZ9ZofkKRppwoTUAxxx6UmkCm2gVUjb7QPguRoL,0.0,1.01,New
1Es7T61ifUGdkJtr8VrxRea9uU6ocbCFbQDPE5mD2hQxqGQ,0.0,1.01,New
12ztHLZzh5J3tnkRuZE38WfuuU4YbPLsp4nUzEo2sY7w1U7k,0.0,1.01,New
15yw6Xn2n8Fq9CPUddpTmThAz2i4JmTuboB15Sxv5X9fo7jm,0.0,1.01,New
12EyzAuCRRPSvA1o8oN9aggLfoKjtRw4afVx8WFpXdyU51W2,0.0,1.01,New
131WBsvka19QqHZ2J8UDoA2dYJ5PAcytqK99gy6RSvDe9GrT,0.0,1.01,New
13xJ7GX2jVwTURvndyvSv8kyPkT3W8JrrLc3ZtJjPN2gXcfe,0.0,1.01,New
15rqZCCnBNx5vVpQ3TjWNBnQauwe1DFxprK97UW6pXew65tU,0.0,1.01,New
14KKvJsa6AEbGfe7MPQkPs4kjjDapN1q1PpLoSGN8WpYHdjh,0.0,1.01,New
12H3VHKeJyPHuFZbYfNsY73GjDz2CzjZgWW954wgvqt3PRBu,0.0,30.94,New
